audio_id,file_path,task_type,delivery,language_use,topic_dev,overall
stu097,/Users/heliang/Desktop/audio_renamed/stu097.m4a,3,17,16,17,17
stu101,/Users/heliang/Desktop/audio_renamed/stu101.m4a,4,17,16,15,17
stu128,/Users/heliang/Desktop/audio_renamed/stu128.m4a,4,16,16,17,17
stu130,/Users/heliang/Desktop/audio_renamed/stu130.m4a,4,17,18,16,17
stu146,/Users/heliang/Desktop/audio_renamed/stu146.m4a,0,17,16,16,17
stu152,/Users/heliang/Desktop/audio_renamed/stu152.m4a,1,18,17,17,17
stu165,/Users/heliang/Desktop/audio_renamed/stu165.m4a,4,17,16,16,17
stu172,/Users/heliang/Desktop/audio_renamed/stu172.m4a,4,16,16,17,17
stu181,/Users/heliang/Desktop/audio_renamed/stu181.m4a,4,17,17,16,17
stu176,/Users/heliang/Desktop/audio_renamed/stu176.m4a,4,16,15,15,16
stu106,/Users/heliang/Desktop/audio_renamed/stu106.m4a,1,16,17,16,16
stu134,/Users/heliang/Desktop/audio_renamed/stu134.m4a,4,16,15,15,16
stu144,/Users/heliang/Desktop/audio_renamed/stu144.m4a,1,16,15,15,16
stu180,/Users/heliang/Desktop/audio_renamed/stu180.mp3,1,17,14,14,16
stu016,/Users/heliang/Desktop/audio_renamed/stu016.m4a,1,15,15,15,15
stu027,/Users/heliang/Desktop/audio_renamed/stu027.m4a,4,16,15,15,15
stu100,/Users/heliang/Desktop/audio_renamed/stu100.m4a,4,14,15,14,15
stu164,/Users/heliang/Desktop/audio_renamed/stu164.m4a,4,15,16,14,15
stu179,/Users/heliang/Desktop/audio_renamed/stu179.m4a,4,15,15,15,15
stu187,/Users/heliang/Desktop/audio_renamed/stu187.m4a,4,14,14,14,14
stu060,/Users/heliang/Desktop/audio_renamed/stu060.mp3,4,13,13,12,13
stu061,/Users/heliang/Desktop/audio_renamed/stu061.mp3,4,10,11,13,11
